Europe,Netherlands,2094470.0,3948.0,18698.0,14.0,11731427.0,17173094
Oceania,New Caledonia,0.0,0.0,0.0,0.0,141123.0,288217
Oceania,New Zealand,5214.0,60.0,28.0,0.0,2837706.0,4860642
North America,Nicaragua,16241.0,504.0,207.0,1.0,328206.0,6702379
Africa,Niger,6193.0,16.0,205.0,0.0,323533.0,25130810
Africa,Nigeria,209546.0,159.0,2838.0,0.0,2681129.0,211400704
Europe,North Macedonia,197669.0,472.0,6978.0,14.0,758001.0,2082661
Europe,Norway,197504.0,608.0,884.0,0.0,3709145.0,5465629
Asia,Oman,304066.0,0.0,4106.0,0.0,2294880.0,5223376
Asia,Pakistan,1266204.0,554.0,28312.0,12.0,34809848.0,225199929
Oceania,Palau,8.0,0.0,0.0,0.0,0.0,18174
Asia,Palestine,449031.0,709.0,4590.0,5.0,1176037.0,5222756
North America,Panama,470395.0,0.0,7294.0,0.0,2340962.0,4381583
Oceania,Papua New Guinea,25356.0,499.0,312.0,3.0,0.0,9119005
South America,Paraguay,460582.0,29.0,16228.0,0.0,2058067.0,7219641
South America,Peru,2190396.0,0.0,199882.0,0.0,14146050.0,33359415
Asia,Philippines,2731735.0,4449.0,40972.0,211.0,24694717.0,111046910
Europe,Poland,2945056.0,3930.0,76179.0,64.0,19756793.0,37797000
Europe,Portugal,1080929.0,832.0,18106.0,6.0,8782671.0,10167923
Asia,Qatar,238079.0,83.0,608.0,0.0,0.0,2930524
Europe,Romania,1486264.0,18863.0,42616.0,574.0,5689257.0,19127772
Europe,Russia,7936798.0,32835.0,221314.0,991.0,45702564.0,145912022
Africa,Rwanda,99213.0,32.0,1314.0,1.0,1718424.0,13276517
North America,Saint Kitts and Nevis,2574.0,18.0,21.0,0.0,23069.0,53546
North America,Saint Lucia,12280.0,46.0,237.0,0.0,38023.0,184401
North America,Saint Vincent and the Grenadines,4637.0,10.0,54.0,1.0,14903.0,111269
Oceania,Samoa,3.0,0.0,0.0,0.0,73310.0,200144
Europe,San Marino,5479.0,4.0,91.0,0.0,22218.0,34010
Africa,Sao Tome and Principe,3685.0,8.0,56.0,0.0,27883.0,223364
Asia,Saudi Arabia,548018.0,49.0,8767.0,2.0,20895225.0,35340680
Africa,Senegal,73875.0,2.0,1872.0,1.0,877598.0,17196308
Europe,Serbia,1062960.0,7664.0,9214.0,57.0,2933395.0,6908224
Africa,Seychelles,21991.0,44.0,119.0,0.0,74778.0,98910
Africa,Sierra Leone,6397.0,0.0,121.0,0.0,110744.0,8141343
Asia,Singapore,154725.0,3994.0,246.0,7.0,4685253.0,5896684
North America,Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,24101.0,43421
Europe,Slovakia,439735.0,1797.0,12864.0,10.0,2283865.0,5460726
Europe,Slovenia,310170.0,1669.0,4645.0,4.0,1068240.0,2078723
Oceania,Solomon Islands,20.0,0.0,0.0,0.0,28497.0,703995
Africa,Somalia,21269.0,0.0,1180.0,0.0,280690.0,16359500
Africa,South Africa,2917255.0,452.0,88674.0,55.0,10759755.0,60041996
Asia,South Korea,346088.0,1570.0,2698.0,9.0,34265084.0,51305184
Africa,South Sudan,12250.0,25.0,130.0,0.0,35809.0,11381377
Europe,Spain,4990767.0,1889.0,87051.0,21.0,37086628.0,46745211
Asia,Sri Lanka,532766.0,548.0,13525.0,18.0,12818379.0,21497306
Africa,Sudan,39839.0,0.0,3038.0,0.0,0.0,44909351
South America,Suriname,47284.0,288.0,1040.0,11.0,188825.0,591798
Europe,Sweden,1163595.0,1662.0,14963.0,7.0,6819230.0,10160159
Europe,Switzerland,858198.0,1241.0,11168.0,6.0,5338562.0,8715494
Asia,Syria,39902.0,414.0,2446.0,17.0,367744.0,18275704
Asia,Taiwan,16343.0,6.0,846.0,0.0,5478056.0,23855008
Asia,Tajikistan,17484.0,0.0,125.0,0.0,2011987.0,9749625
Africa,Tanzania,26034.0,0.0,724.0,0.0,0.0,61498438
Asia,Thailand,1802934.0,9122.0,18407.0,71.0,25287543.0,69950844
Asia,Timor,19730.0,5.0,120.0,1.0,315033.0,1343875
Africa,Togo,25926.0,23.0,240.0,1.0,419768.0,8478242
Oceania,Tokelau,0.0,0.0,0.0,0.0,968.0,1368
Oceania,Tonga,0.0,0.0,0.0,0.0,30245.0,106759
North America,Trinidad and Tobago,54405.0,138.0,1613.0,8.0,571031.0,1403374
Africa,Tunisia,711007.0,54.0,25103.0,3.0,4205797.0,11935764
Asia,Turkey,7714349.0,30862.0,68060.0,223.0,47585869.0,85042736
North America,Turks and Caicos Islands,0.0,0.0,0.0,0.0,26112.0,39226
Africa,Uganda,125283.0,22.0,3187.0,2.0,415486.0,47123533
Europe,Ukraine,2784227.0,16484.0,65359.0,562.0,6658010.0,43466822
Asia,United Arab Emirates,738812.0,122.0,2122.0,2.0,8555071.0,9991083
Europe,United Kingdom,8581278.0,43628.0,139265.0,223.0,45400990.0,68207114
North America,United States,45132148.0,81238.0,728192.0,2357.0,189487793.0,332915074
South America,Uruguay,391358.0,191.0,6069.0,0.0,2608885.0,3485152
Asia,Uzbekistan,181654.0,342.0,1292.0,2.0,5789691.0,33935765
Oceania,Vanuatu,4.0,0.0,1.0,0.0,28368.0,314464
Europe,Vatican,27.0,0.0,0.0,0.0,0.0,812
South America,Venezuela,395223.0,1162.0,4748.0,14.0,6190629.0,28704947
Asia,Vietnam,870255.0,3034.0,21344.0,75.0,18498737.0,98168829
Oceania,Wallis and Futuna,0.0,0.0,0.0,0.0,5321.0,11094
Asia,Yemen,9575.0,19.0,1813.0,6.0,0.0,30490639
Africa,Zambia,209549.0,13.0,3658.0,0.0,497977.0,18920657
Africa,Zimbabwe,132405.0,37.0,4659.0,1.0,2501519.0,15092171
